CODGEO,NB,ANNEE
01080,5.79977225462102,2022
01080,66.0,2017
01081,54.551020408,2017
01081,124.463212750634,2022
01082,63.8763803855593,2022
01082,68.0,2017
01083,111.356086426185,2022
01083,109.99072087,2017
01084,102.564523031863,2022
01084,3.1307580487,2017
01085,40.313916082,2017
01085,2.08286082369649,2022
01087,0.0,2017
01087,7.05143421890948,2022
01088,185.053075249005,2022
01088,90.896017699,2017
01089,9.14766106390684,2022
01089,35.111407013,2017
01090,64.4924448658395,2022
01090,63.219101124,2017
01092,225.15710723,2017
01092,3.09327221731141,2022
01093,3.81247723557192,2022
01093,1092.0,2017
01094,65.1153527890929,2022
01094,131.65033113,2017
01095,92.423579492,2017
01095,136.939345818833,2022
01096,104.6884273,2017
01096,3.12732020773778,2022
01098,21.384615385,2017
01098,9.45173228108581,2022
01099,332.85991501,2017
01099,148.215350943033,2022
01100,14.320610687,2017
01100,15.0,2022
01101,13.8157894736842,2022
01101,13.551282051,2017
01102,122.64413939,2017
01102,34.6119485344331,2022
01103,26.892176454949,2022
01103,109.61377385,2017
01104,4.0108943959,2017
01104,1.99806361169947,2022
01105,381.3245925058,2022
01105,211.26298524,2017
01106,7.7318435754,2017
01106,4.91620111731844,2022
01107,12.6388888888889,2022
01107,0.0,2017
01108,215.0,2017
01108,197.714323549532,2022
01109,57.817610063,2017
01109,223.201685792461,2022
01110,26.025641026,2017
01110,6.26923076923077,2022
01111,22.5,2022
01111,8.4545454545,2017
01112,50.8342026755083,2022
01112,53.930544004,2017
01113,5.0305997552,2017
01113,91.0770338836416,2022
01114,102.0,2017
01114,70.5979096455697,2022
01115,278.590245577075,2022
01115,145.98209311,2017
01116,11.8255336940221,2022
01116,0.0,2017
01117,24.6688741721854,2022
01117,1.9602649007,2017
01118,116.144682802173,2022
01118,1.0,2017
01121,7.8620689655,2017
01121,21.1810344827586,2022
01123,162.76056677,2017
01123,2.09068617577234,2022
01124,122.54372951,2017
01124,115.791150550786,2022
01125,125.82352941,2017
01125,120.819839615612,2022
01127,14.7302522727645,2022
01127,90.820866142,2017
01128,54.9752508197574,2022
01128,31.196013289,2017
01129,47.8578268726626,2022
01129,63.685277922,2017
01130,1.98272897325361,2022
01130,291.51590176,2017
01133,32.067743847,2017
01133,26.6074177250545,2022
01134,3.97085498960912,2022
01134,1.9984171732,2017
01135,160.839418165012,2022
01135,176.09399721,2017
01136,44.2449789169543,2022
01136,93.312430011,2017
01138,40.0956686288821,2022
01138,72.408889586,2017
01139,42.14722673048,2022
01139,82.0,2017
01140,138.761825689232,2022
01140,131.0,2017
01141,0.0,2017
01141,37.0590989922562,2022
01142,102.82036828,2017
01142,42.852912271627,2022
01143,850.590577244288,2022
01143,1037.0,2017
01145,118.69437843,2017
01145,118.935624811813,2022
01146,34.9466823789372,2022
01146,83.284050891,2017
01147,0.948433564234821,2022
01147,5.0,2017
01148,10.0080966626002,2022
01148,287.0,2017
01149,200.812243186254,2022
01149,153.93685174,2017
01150,28.261682243,2017
01150,17.0794392523364,2022
01151,195.059744781799,2022
01151,12.270685612,2017
01152,1.96574018165342,2022
