codecommune;NSCOL15P;DIPLMIN;BEPC;CAPBEP;BAC;SUP2;SUP34;SUP5
88005;167;44;11;48;20;25;14;5
88006;227;47;15;68;36;30;18;13
88007;44;18;0;12;7;5;2;0
88008;123;42;5;41;18;9;3;5
88009;2589;724;132;905;375;254;145;54
88010;146;48;12;45;22;10;4;6
88011;1272;251;83;421;210;161;89;57
88012;845;182;46;232;165;124;66;30
88013;56;23;5;18;5;5;0;1
88014;135;27;8;45;26;10;13;7
88015;178;58;9;49;27;16;17;3
88016;198;87;14;57;17;11;9;3
88017;112;27;10;34;18;8;9;6
88019;128;26;11;52;20;10;6;3
88020;133;44;3;30;22;19;7;7
88021;216;52;12;72;35;24;12;8
88022;177;45;11;69;33;11;2;6
88023;60;11;1;28;9;2;7;2
88024;76;9;4;32;15;12;4;0
88025;55;18;2;15;9;8;2;0
88026;783;130;43;230;132;122;79;48
88027;112;25;4;43;18;16;2;4
88028;464;73;20;129;91;61;52;38
88029;1296;418;73;445;171;76;58;55
88030;105;21;4;30;21;8;12;10
88031;83;16;8;27;18;6;4;4
88032;950;300;60;289;135;71;67;27
88033;264;54;14;91;46;30;19;10
88035;110;41;5;35;17;9;1;1
88036;72;18;6;24;12;8;3;0
88037;664;143;49;195;102;90;51;34
88038;27;4;0;10;5;5;2;1
88039;234;53;12;87;41;29;9;3
88040;202;44;7;61;51;21;12;5
88041;77;14;1;21;16;12;10;3
88042;58;13;2;23;11;7;0;3
88043;92;26;6;38;6;10;3;2
88044;468;142;19;154;62;46;26;18
88045;65;13;3;21;14;6;6;1
88046;105;33;8;28;16;10;5;5
88047;120;20;5;45;25;12;10;2
88048;731;202;24;244;117;82;43;19
88049;86;25;1;35;15;9;1;1
88050;224;61;14;74;35;21;15;5
88051;102;25;3;36;16;10;8;3
88052;80;34;1;21;14;4;4;1
