CodeCommune;NomCommune;Année;NombreCrimes;Population
1334;Saint-André-d'Huiriat;2017;3010.0;626.0
1334;Saint-André-d'Huiriat;2022;4050.0;671.0
1335;Saint-André-le-Bouchoux;2017;3840.0;390.0
1335;Saint-André-le-Bouchoux;2022;3762.0;427.0
1336;Saint-André-sur-Vieux-Jonc;2017;2252.0;1147.0
1336;Saint-André-sur-Vieux-Jonc;2022;4844.0;1216.0
1337;Saint-Bénigne;2017;6270.0;1265.0
1337;Saint-Bénigne;2022;5372.0;1351.0
1338;Groslée-Saint-Benoit;2017;3579.0;1193.0
1338;Groslée-Saint-Benoit;2022;4952.0;1232.0
1339;Saint-Bernard;2017;4302.0;1433.0
1339;Saint-Bernard;2022;2994.0;1544.0
1342;Sainte-Croix;2017;2830.0;570.0
1342;Sainte-Croix;2022;2735.0;548.0
1343;Saint-Cyr-sur-Menthon;2017;3522.0;1776.0
1343;Saint-Cyr-sur-Menthon;2022;5532.0;1867.0
1344;Saint-Denis-lès-Bourg;2017;39669.0;5747.0
1344;Saint-Denis-lès-Bourg;2022;36378.0;6078.0
1345;Saint-Denis-en-Bugey;2017;6879.0;2309.0
1345;Saint-Denis-en-Bugey;2022;4480.0;2258.0
1346;Saint-Didier-d'Aussiat;2017;5274.0;871.0
1346;Saint-Didier-d'Aussiat;2022;5100.0;845.0
1347;Saint-Didier-de-Formans;2017;11664.0;1960.0
1347;Saint-Didier-de-Formans;2022;8564.0;2176.0
1348;Saint-Didier-sur-Chalaronne;2017;14160.0;2875.0
1348;Saint-Didier-sur-Chalaronne;2022;12208.0;2969.0
1349;Saint-Éloi;2017;2718.0;456.0
1349;Saint-Éloi;2022;3144.0;524.0
1350;Saint-Étienne-du-Bois;2017;12450.0;2448.0
1350;Saint-Étienne-du-Bois;2022;7659.0;2569.0
1351;Saint-Étienne-sur-Chalaronne;2017;3092.0;1555.0
1351;Saint-Étienne-sur-Chalaronne;2022;8065.0;1625.0
1352;Saint-Étienne-sur-Reyssouze;2017;3976.0;571.0
1352;Saint-Étienne-sur-Reyssouze;2022;1743.0;576.0
1353;Sainte-Euphémie;2017;4971.0;1667.0
1353;Sainte-Euphémie;2022;6920.0;1741.0
1354;Saint-Genis-Pouilly;2017;130812.0;12544.0
1354;Saint-Genis-Pouilly;2022;160138.0;14584.0
1355;Saint-Genis-sur-Menthon;2017;2832.0;472.0
