CodeCommune;NSCOL15P;DIPLMIN;BEPC;CAPBEP;BAC;SUP2;SUP34;SUP5
67403;349;55;8;119;53;61;34;21
67404;710;195;24;246;119;58;39;29
67405;1739;310;46;622;308;204;122;127
67406;257;30;7;73;57;43;26;22
67407;1264;248;46;417;219;171;85;77
67408;942;125;37;281;197;141;93;68
67409;812;146;35;334;133;80;39;45
67410;522;77;8;192;95;68;42;40
67411;4125;547;136;1026;692;645;477;602
67412;752;118;28;271;141;96;60;35
67413;410;125;13;141;57;37;22;15
67414;1179;322;50;481;166;80;45;35
67415;387;89;15;166;55;34;12;16
67416;367;77;11;128;51;48;23;29
67417;242;38;7;68;49;32;23;24
67418;1520;281;39;561;266;164;104;106
67420;973;185;51;379;162;125;51;21
67421;659;220;51;231;89;33;22;12
67422;437;80;20;144;77;61;32;24
67423;439;49;16;149;90;66;43;27
67424;185;41;8;66;36;15;14;5
67425;445;67;19;135;83;70;34;37
67426;277;53;10;109;47;28;17;13
67427;271;45;6;96;41;42;24;17
67428;398;38;19;107;75;56;47;56
67429;469;74;26;155;125;48;26;15
67430;595;92;15;204;86;88;57;52
67432;456;95;10;145;91;54;33;29
67433;1035;169;27;340;199;143;82;75
67434;2144;563;155;646;363;194;131;92
67435;666;176;27;229;114;60;37;24
67436;364;76;18;140;56;36;18;20
67437;8882;1744;357;2187;1548;1002;984;1059
67438;599;100;14;220;99;86;40;39
67440;428;86;25;149;83;42;27;16
67441;242;61;4;69;34;33;24;17
67442;972;104;28;273;181;154;114;117
67443;710;115;27;254;133;58;60;62
67444;96;25;0;32;20;6;6;8
67445;2431;387;82;716;387;368;241;251
67446;335;65;7;94;72;52;21;25
67447;24244;5104;901;5415;3600;2551;2649;4025
67448;1690;486;95;553;273;141;83;57
67449;1775;388;47;744;265;183;96;52
67450;588;103;14;210;100;80;47;33
67451;1147;319;28;387;182;123;58;51
67452;1260;162;26;328;240;211;157;137
67453;460;103;23;149;76;54;30;24
67454;293;85;7;116;41;26;10;8
67455;551;104;22;188;83;83;41;28
67456;316;57;6;121;64;34;23;9
67458;3908;696;132;1246;720;508;364;242
67459;558;98;12;190;121;74;43;20
67460;1312;214;37;413;245;194;105;103
67461;236;42;6;83;34;35;23;14
