CodeCommune;NomCommune;Pop2017;Pop2022
38402;Saint-Jean-de-Vaulx;532;526
38404;Saint-Jean-le-Vieux;292;276
38405;Saint-Joseph-de-Rivière;1219;1243
38406;Saint-Julien-de-l'Herms;149;163
38408;Saint-Just-Chaleyssin;2568;2678
38409;Saint-Just-de-Claix;1212;1381
38410;Saint-Lattier;1338;1468
38412;Saint-Laurent-du-Pont;4531;4502
38413;Saint-Laurent-en-Beaumont;454;419
38415;Saint-Marcel-Bel-Accueil;1393;1507
38416;Saint-Marcellin;7903;7705
38421;Saint-Martin-d'Hères;38487;38022
38422;Saint-Martin-d'Uriage;5451;5512
38419;Saint-Martin-de-Clelles;186;184
38115;Saint-Martin-de-la-Cluze;717;749
38420;Saint-Martin-de-Vaulserre;260;241
38423;Saint-Martin-le-Vinoux;5778;5957
38424;Saint-Maurice-en-Trièves;155;179
38425;Saint-Maurice-l'Exil;6141;6722
38426;Saint-Maximin;654;672
38427;Saint-Michel-de-Saint-Geoirs;304;290
38428;Saint-Michel-en-Beaumont;31;32
38429;Saint-Michel-les-Portes;269;283
38430;Saint-Mury-Monteymond;320;335
38431;Saint-Nazaire-les-Eymes;2955;3013
38432;Saint-Nicolas-de-Macherin;938;944
38433;Saint-Nizier-du-Moucherotte;1098;1132
38434;Saint-Ondras;640;661
38437;Saint-Paul-d'Izeaux;295;303
38436;Saint-Paul-de-Varces;2173;2212
38438;Saint-Paul-lès-Monestier;267;284
38446;Saint-Pierre-d'Entremont;571;576
38440;Saint-Pierre-de-Bressieux;761;778
38442;Saint-Pierre-de-Chartreuse;1015;935
38443;Saint-Pierre-de-Chérennes;464;467
38444;Saint-Pierre-de-Méaroz;126;105
38445;Saint-Pierre-de-Mésage;764;788
38448;Saint-Prim;1372;1454
38449;Saint-Quentin-Fallavier;6103;6182
38450;Saint-Quentin-sur-Isère;1451;1472
38451;Saint-Romain-de-Jalionas;3288;3405
38452;Saint-Romain-de-Surieu;353;465
38453;Saint-Romans;1778;1849
38454;Saint-Sauveur;2098;2108
38455;Saint-Savin;4076;4297
38457;Saint-Siméon-de-Bressieux;2887;3107
38458;Saint-Sorlin-de-Morestel;627;613
38459;Saint-Sorlin-de-Vienne;878;967
38460;Saint-Sulpice-des-Rivoires;430;427
38462;Saint-Théoffrey;521;609
38463;Saint-Vérand;1721;1723
38464;Saint-Victor-de-Cessieu;2240;2170
38465;Saint-Victor-de-Morestel;1092;1142
38466;Saint-Vincent-de-Mercuze;1519;1520
38350;Sainte-Agnès;563;565
38358;Sainte-Anne-sur-Gervonde;692;757
38369;Sainte-Blandine;977;1020
38414;Sainte-Luce;43;41
38417;Sainte-Marie-d'Alloix;478;484
38418;Sainte-Marie-du-Mont;237;233
38467;Salagnon;1420;1484
38468;Salaise-sur-Sanne;4513;4548
38469;La Salette-Fallavaux;65;82
38470;La Salle-en-Beaumont;318;347
38471;Le Sappey-en-Chartreuse;1121;1154
38472;Sarcenas;189;250
38473;Sardieu;1124;1184
38474;Sassenage;11376;11579
38475;Satolas-et-Bonce;2419;2540
38476;Savas-Mépin;895;879
38478;Séchilienne;1052;1004
38480;Septème;2063;2153
38481;Sérézin-de-la-Tour;1057;1134
38483;Sermérieu;1668;1642
38484;Serpaize;1939;2100
38275;Serre-Nerpol;296;315
38485;Seyssinet-Pariset;12013;11784
38486;Seyssins;7685;8087
38487;Seyssuel;2003;2168
38488;Siccieu-Saint-Julien-et-Carisieu;583;601
38489;Siévoz;136;134
38490;Sillans;1909;1923
38492;Sinard;692;719
38494;Soleymieu;777;849
38495;La Sône;584;614
38496;Sonnay;1241;1255
38497;Sousville;140;145
38498;Succieu;735;774
38407;La Sure en Chartreuse;984;1060
38499;Susville;1272;1148
38500;Têche;574;599
38501;Tencin;2095;2132
38503;La Terrasse;2539;2463
38504;Theys;1961;2014
38505;Thodure;743;789
38507;Tignieu-Jameyzieu;7249;7944
38508;Torchefelon;739;823
38509;La Tour-du-Pin;8080;8123
38511;Le Touvet;3229;3115
